id,modern,unicode,traditional_or_variants,traditional_unicode,variant_unicodes,pinyin,radical,stroke_count,source_work,source_note,brief_gloss,simple_annotation,common_words,xinhua_base_status,shape_status,meaning_status,phonology_status,review_status,review_tags,review_notes
055,王,U+738B,王,,,wang2|wang4,王,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,君主|一类中居首者|称王或统治|姓氏,王：现代主要用于表示君主；一类中居首者；称王或统治；姓氏。常见用法如：王国、君王、王者、王后、称王。,王国|君王|王者|王后|称王,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：wang2、wang4；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
056,臣,U+81E3,臣,,,chen2,臣,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,臣子|君主时代的官吏|自谦称谓|使臣服,臣：现代主要用于表示臣子；君主时代的官吏；自谦称谓；使臣服。常见用法如：大臣、臣子、君臣、臣服、功臣。,大臣|臣子|君臣|臣服|功臣,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
057,君,U+541B,君,,,jun1,口,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,君主|尊称|对男子或朋友的称呼|姓氏,君：现代主要用于表示君主；尊称；对男子或朋友的称呼；姓氏。常见用法如：君主、国君、君子、诸君、君臣。,君主|国君|君子|诸君|君臣,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
058,主,U+4E3B,主,,,zhu3,丶,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,主人|主要|主持或掌管|主张|牌位或神主,主：现代主要用于表示主人；主要；主持或掌管；主张；牌位或神主。常见用法如：主人、主要、主席、主动、主张。,主人|主要|主席|主动|主张,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
059,奴,U+5974,奴,,,nu2,女,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,奴隶|奴仆|受压迫役使者|贬称,奴：现代主要用于表示奴隶；奴仆；受压迫役使者；贬称。常见用法如：奴隶、奴仆、奴才、家奴、奴役。,奴隶|奴仆|奴才|家奴|奴役,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
060,父,U+7236,父,,,fu4|fu3,父,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,父亲|男性长辈|某些尊称中的父,父：现代主要用于表示父亲；男性长辈；某些尊称中的父。常见用法如：父亲、父母、父子、祖父、父老。,父亲|父母|父子|祖父|父老,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：fu4、fu3；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
061,母,U+6BCD,母,,,mu3,母,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,母亲|雌性的|产生或养育事物的来源|母体,母：现代主要用于表示母亲；雌性的；产生或养育事物的来源；母体。常见用法如：母亲、父母、母子、母语、母校。,母亲|父母|母子|母语|母校,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
062,兄,U+5144,兄,,,xiong1,儿,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,哥哥|兄长|朋友间男性称谓,兄：现代主要用于表示哥哥；兄长；朋友间男性称谓。常见用法如：兄弟、兄长、兄妹、仁兄、师兄。,兄弟|兄长|兄妹|仁兄|师兄,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
063,弟,U+5F1F,弟,,,di4,弓,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,弟弟|同辈中年幼男子|门生或后辈|自谦称,弟：现代主要用于表示弟弟；同辈中年幼男子；门生或后辈；自谦称。常见用法如：弟弟、兄弟、子弟、师弟、弟子。,弟弟|兄弟|子弟|师弟|弟子,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
064,祖,U+7956,祖,,,zu3,礻,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,祖先|开创者|事业或学派源头|祖国相关构词,祖：现代主要用于表示祖先；开创者；事业或学派源头；祖国相关构词。常见用法如：祖先、祖父、祖宗、祖国、鼻祖。,祖先|祖父|祖宗|祖国|鼻祖,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
065,宗,U+5B97,宗,,,zong1,宀,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,祖宗|宗族|宗派|根本或主要|量词,宗：现代主要用于表示祖宗；宗族；宗派；根本或主要；量词。常见用法如：祖宗、宗族、宗教、宗旨、一宗案。,祖宗|宗族|宗教|宗旨|一宗案,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
066,家,U+5BB6,家,,,jia1|jia|jie,宀,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,家庭|住所|从事某种专门活动的人|学派|量词,家：现代主要用于表示家庭；住所；从事某种专门活动的人；学派；量词。常见用法如：家庭、国家、家人、专家、作家。,家庭|国家|家人|专家|作家,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：jia1、jia、jie；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
067,族,U+65CF,族,,,zu2,方,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,家族|民族|种类|有共同属性的人群,族：现代主要用于表示家族；民族；种类；有共同属性的人群。常见用法如：民族、家族、族人、种族、水族。,民族|家族|族人|种族|水族,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
068,兵,U+5175,兵,,,bing1,八,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,士兵|军队|兵器|军事或战争,兵：现代主要用于表示士兵；军队；兵器；军事或战争。常见用法如：士兵、兵器、兵法、兵力、当兵。,士兵|兵器|兵法|兵力|当兵,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
069,戈,U+6208,戈,,,ge1,戈,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,古代兵器|战争或武力象征|戈部字义部件,戈：现代主要用于表示古代兵器；战争或武力象征；戈部字义部件。常见用法如：干戈、戈壁、倒戈、挥戈、金戈铁马。,干戈|戈壁|倒戈|挥戈|金戈铁马,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
070,武,U+6B66,武,,,wu3,止,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,武力|军事|武艺|勇猛|与文相对的类别,武：现代主要用于表示武力；军事；武艺；勇猛；与文相对的类别。常见用法如：武力、武器、武术、文武、威武。,武力|武器|武术|文武|威武,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
071,战,U+6218,戰,U+6230,戰:U+6230,zhan4,戈,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,战争|战斗|比赛或斗争|发抖,战：现代主要用于表示战争；战斗；比赛或斗争；发抖。常见用法如：战争、战斗、战士、挑战、战栗。,战争|战斗|战士|挑战|战栗,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：戰；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
072,邦,U+90A6,邦,,,bang1,阝,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,国家|国土|国与国之间的关系,邦：现代主要用于表示国家；国土；国与国之间的关系。常见用法如：邦国、联邦、邦交、邻邦、安邦。,邦国|联邦|邦交|邻邦|安邦,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
073,邑,U+9091,邑,,,yi4,邑,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,城镇|古代封地或县邑|邑部字义部件,邑：现代主要用于表示城镇；古代封地或县邑；邑部字义部件。常见用法如：城邑、都邑、采邑、邑人、食邑。,城邑|都邑|采邑|邑人|食邑,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
074,行,U+884C,行,,,xing2|hang2|hang4|heng2,行,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,走或行动|实行|行业|行列|可以或能干,行：现代主要用于表示走或行动；实行；行业；行列；可以或能干。常见用法如：行动、行走、银行、行业、不行。,行动|行走|银行|行业|不行,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：xing2、hang2、hang4、heng2；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
